ball_strike_count,all_star_player,inning_topbot,game_id,obs,code
00,1.0,0,233826,0010,2
10,1.0,0,233826,1010,14
20,1.0,0,233826,2010,26
30,1.0,0,233826,3010,38
31,1.0,0,233826,3110,42
00,1.0,0,233826,0010,2
10,1.0,0,233826,1010,14
11,1.0,0,233826,1110,18
12,1.0,0,233826,1210,22
00,1.0,0,233826,0010,2
10,1.0,0,233826,1010,14
11,1.0,0,233826,1110,18
00,1.0,1,233826,0011,3
01,1.0,1,233826,0111,7
11,1.0,1,233826,1111,19
12,1.0,1,233826,1211,23
22,1.0,1,233826,2211,35
00,1.0,1,233826,0011,3
01,1.0,1,233826,0111,7
02,1.0,1,233826,0211,11
12,1.0,1,233826,1211,23
12,1.0,1,233826,1211,23
00,1.0,1,233826,0011,3
01,1.0,1,233826,0111,7
02,1.0,1,233826,0211,11
00,1.0,0,233826,0010,2
01,1.0,0,233826,0110,6
02,1.0,0,233826,0210,10
12,1.0,0,233826,1210,22
00,1.0,0,233826,0010,2
10,1.0,0,233826,1010,14
11,1.0,0,233826,1110,18
12,1.0,0,233826,1210,22
22,1.0,0,233826,2210,34
32,1.0,0,233826,3210,46
00,1.0,0,233826,0010,2
10,1.0,0,233826,1010,14
00,1.0,0,233826,0010,2
01,1.0,0,233826,0110,6
02,1.0,0,233826,0210,10
00,1.0,1,233826,0011,3
10,1.0,1,233826,1011,15
11,1.0,1,233826,1111,19
12,1.0,1,233826,1211,23
12,1.0,1,233826,1211,23
00,1.0,1,233826,0011,3
01,1.0,1,233826,0111,7
00,1.0,1,233826,0011,3
10,1.0,1,233826,1011,15
20,1.0,1,233826,2011,27
21,1.0,1,233826,2111,31
22,1.0,1,233826,2211,35
00,1.0,0,233826,0010,2
10,1.0,0,233826,1010,14
00,1.0,0,233826,0010,2
10,1.0,0,233826,1010,14
11,1.0,0,233826,1110,18
00,1.0,0,233826,0010,2
00,1.0,0,233826,0010,2
00,1.0,0,233826,0010,2
10,1.0,0,233826,1010,14
20,1.0,0,233826,2010,26
30,1.0,0,233826,3010,38
00,1.0,1,233826,0011,3
01,1.0,1,233826,0111,7
02,1.0,1,233826,0211,11
12,1.0,1,233826,1211,23
22,1.0,1,233826,2211,35
22,1.0,1,233826,2211,35
22,1.0,1,233826,2211,35
32,1.0,1,233826,3211,47
32,1.0,1,233826,3211,47
32,1.0,1,233826,3211,47
00,1.0,1,233826,0011,3
00,1.0,1,233826,0011,3
01,1.0,1,233826,0111,7
11,1.0,1,233826,1111,19
21,1.0,1,233826,2111,31
22,1.0,1,233826,2211,35
00,1.0,1,233826,0011,3
10,1.0,1,233826,1011,15
20,1.0,1,233826,2011,27
00,1.0,0,233826,0010,2
01,1.0,0,233826,0110,6
11,1.0,0,233826,1110,18
21,1.0,0,233826,2110,30
31,1.0,0,233826,3110,42
00,1.0,0,233826,0010,2
00,1.0,0,233826,0010,2
00,1.0,1,233826,0011,3
01,1.0,1,233826,0111,7
11,1.0,1,233826,1111,19
12,1.0,1,233826,1211,23
22,1.0,1,233826,2211,35
00,1.0,1,233826,0011,3
10,1.0,1,233826,1011,15
20,1.0,1,233826,2011,27
30,1.0,1,233826,3011,39
31,1.0,1,233826,3111,43
00,1.0,1,233826,0011,3
10,1.0,1,233826,1011,15
11,1.0,1,233826,1111,19
00,1.0,1,233826,0011,3
01,1.0,1,233826,0111,7
11,1.0,1,233826,1111,19
12,1.0,1,233826,1211,23
00,1.0,1,233826,0011,3
00,1.0,1,233826,0011,3
10,1.0,1,233826,1011,15
00,1.0,0,233826,0010,2
01,1.0,0,233826,0110,6
00,1.0,0,233826,0010,2
10,1.0,0,233826,1010,14
11,1.0,0,233826,1110,18
00,1.0,0,233826,0010,2
00,1.0,1,233826,0011,3
10,1.0,1,233826,1011,15
00,1.0,1,233826,0011,3
10,1.0,1,233826,1011,15
00,1.0,1,233826,0011,3
01,1.0,1,233826,0111,7
02,1.0,1,233826,0211,11
12,1.0,1,233826,1211,23
00,1.0,0,233826,0010,2
00,1.0,0,233826,0010,2
10,1.0,0,233826,1010,14
00,1.0,0,233826,0010,2
10,1.0,0,233826,1010,14
11,1.0,0,233826,1110,18
12,1.0,0,233826,1210,22
00,1.0,1,233826,0011,3
01,1.0,1,233826,0111,7
02,1.0,1,233826,0211,11
12,1.0,1,233826,1211,23
12,1.0,1,233826,1211,23
22,1.0,1,233826,2211,35
00,1.0,1,233826,0011,3
00,1.0,1,233826,0011,3
00,1.0,1,233826,0011,3
00,1.0,1,233826,0011,3
