pitch_location,pitch_category_breaking_pitch,pitch_category_offspeed_pitch,pitch_category_fastballs,pitch_category_other,dec_states,error_in_decision,post_s0,post_s1,post_s2,post_s3,post_s4,post_s5,post_s6,post_s7,post_s8,post_s9,post_s10,post_s11
0.3209999999999999,0,0,1,0,3,correct,1.1050074217245868e-167,0.0,0.0,1.0,1.9147485188541198e-177,2.96177611682362e-205,0.0,0.0,9.817787495693288e-271,7.965118460283558e-229,0.0,0.0
0.3389999999999999,0,0,1,0,0,do_nothing,1.0,0.0,0.0,5.469694163745639e-129,0.0,4.5940895275585355e-154,0.0,0.0,0.0,3.0458256973865708e-180,0.0,0.0
0.1800000000000001,0,0,1,0,3,do_nothing,1.0386796247520945e-167,0.0,6.593220105035208e-178,1.0,7.865081479551928e-138,2.709449252738789e-77,1.654776100452951e-182,1.1036356596074906e-282,8.916821716921507e-37,2.2884651959392607e-99,0.0,0.0
0.5609999999999999,0,0,1,0,9,do_nothing,0.0,0.0,4.869282176304042e-262,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.06,0,0,1,0,7,do_nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.4909999999999999,1,0,0,0,10,correct,0.0,1.8703860501223857e-91,5.395488337251484e-241,2.50922256e-316,0.0,0.0,2.5334001517656107e-308,0.0,0.0,5.897468453109358e-251,1.0,0.0
0.0509999999999999,1,0,0,0,1,incorrect,0.0,1.0,1.185142504495408e-148,9.987195271718205e-213,0.0,0.0,5.240943534519876e-215,0.0,0.0,1.0583934340662557e-167,0.0,0.0
0.06,1,0,0,0,2,correct,0.0,5.079744711762607e-10,0.9999999994920472,1.2529307891877182e-111,0.0,1.7779182599703752e-280,1.9251985686231364e-131,0.0,0.0,2.496938739244874e-78,0.0,0.0
0.3209999999999999,0,0,1,0,9,correct,0.0,0.0,1.2562712950371091e-120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.6709999999999999,0,1,0,0,7,correct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.27,0,0,1,0,10,correct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0099999999999997,0,0,1,0,1,correct,0.0,1.0,0.0,0.0,0.0,0.0,1.4988179438624663e-260,0.0,0.0,1.1712784168830192e-181,0.0,0.0
0.6609999999999999,0,0,1,0,2,do_nothing,0.0,4.045238104538154e-21,1.0,1.891538466691037e-136,0.0,3.9965668808093335e-210,5.593602692688304e-126,0.0,0.0,2.5637532440745653e-69,0.0,0.0
0.039,0,0,1,0,9,correct,0.0,0.0,1.2562712945163103e-120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.7809999999999999,0,1,0,0,7,correct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.389,0,0,1,0,10,correct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.1809999999999999,0,0,1,0,1,correct,0.0,1.0,0.0,0.0,0.0,0.0,1.279367193301e-311,0.0,0.0,1.1129167084368536e-240,0.0,0.0
0.2999999999999998,0,0,1,0,2,do_nothing,0.0,7.347817862107082e-21,1.0,3.7557996675979466e-197,0.0,7.935500560417699e-271,1.110654184613145e-186,0.0,0.0,5.09053542999961e-130,0.0,0.0
0.5509999999999999,0,0,1,0,2,do_nothing,0.0,5.486377119904092e-116,1.0,8.178673606460268e-110,0.0,4.6096637879980703e-157,2.9834831779827883e-116,0.0,0.0,1.985579322723445e-61,0.0,0.0
0.3389999999999999,0,0,1,0,3,incorrect,0.0,0.0,4.9588567359939685e-281,1.0,0.0,1.5199726685662124e-297,0.0,0.0,0.0,5.56096e-319,0.0,0.0
0.4509999999999999,1,0,0,0,0,do_nothing,1.0,0.0,0.0,1.6169510877314739e-220,0.0,1.3581048293265853e-245,0.0,0.0,0.0,9.004070478152019e-272,0.0,0.0
0.5700000000000001,0,0,1,0,8,do_nothing,0.0,0.0,0.0,2.9562001810795732e-92,1.067012453833855e-114,8.639409351829128e-116,1.8938706751041116e-263,0.0,1.0,5.976389875316056e-165,0.0,0.0
0.5700000000000001,1,0,0,0,3,correct,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0,1,0,0,0,do_nothing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.029,0,0,1,0,8,do_nothing,0.0,0.0,0.0,3.969243852773824e-273,4.180716780982342e-115,1.1600000122057128e-296,0.0,0.0,1.0,0.0,0.0,0.0
0.54,0,0,1,0,4,do_nothing,0.0,0.0,0.0,1.3426843953863433e-181,1.0,4.004726288642013e-205,0.0,0.0,3.6776176492438096e-82,2.8533660922089364e-254,0.0,0.0
0.1509999999999999,0,1,0,0,4,do_nothing,0.0,0.0,0.0,5.853914043991076e-91,1.0,1.4744511157355599e-114,3.6689704335620193e-262,0.0,4.1669105014417136e-81,1.2654391389003033e-163,0.0,0.0
0.02,1,0,0,0,3,incorrect,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000002,0,1,0,0,0,correct,1.0,0.0,0.0,4.127585946627511e-307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2309999999999999,0,0,1,0,8,do_nothing,0.0,0.0,0.0,3.024224691668101e-210,0.0,1.908153522188076e-172,9.679604544273108e-232,0.0,1.0,0.0,0.0,0.0
0.1609999999999999,0,0,1,0,9,correct,0.0,0.0,1.9123935786965592e-239,1.5302345284289266e-233,3.94165178766119e-213,6.448084256889648e-294,2.4195787602725062e-225,0.0,1.191552389e-314,1.0,0.0,0.0
0.1399999999999996,0,1,0,0,7,do_nothing,0.0,0.0,0.0,1.2217840365653858e-188,0.0,0.0,1.2916678270674607e-187,1.0,0.0,8.62885513994693e-134,0.0,0.0
0.2209999999999999,0,0,1,0,9,do_nothing,0.0,7.583284406422407e-254,1.940330340519655e-240,7.237331852328526e-235,0.0,1.1431940516156145e-295,1.3319582749172203e-224,4.3596243e-315,0.0,1.0,8.477844002807773e-177,0.0
0.0909999999999999,0,0,1,0,7,do_nothing,0.0,0.0,0.0,1.2217840365653165e-188,0.0,0.0,1.2916678270675342e-187,1.0,0.0,8.6288551399464405e-134,0.0,0.0
0.641,0,0,1,0,9,correct,0.0,9.531205877579247e-257,1.940330340519655e-240,9.096388344671905e-238,0.0,1.4368467909164582e-298,1.674098960053454e-227,5.479484e-318,0.0,1.0,1.0655551375646192e-179,0.0
0.2600000000000002,0,0,1,0,7,do_nothing,0.0,0.0,0.0,1.9785739126261918e-202,0.0,0.0,5.782987771667405e-205,1.0,0.0,1.0845352807418575e-136,0.0,0.0
0.6499999999999999,0,0,1,0,9,do_nothing,0.0,9.476174417230327e-254,1.940330340519655e-240,9.043867442181933e-235,0.0,1.4285506971988943e-295,1.6644330151852327e-224,6.847236e-318,0.0,1.0,1.0594028147572383e-176,0.0
0.029,0,1,0,0,7,do_nothing,0.0,0.0,0.0,2.5525181963417907e-187,0.0,0.0,5.498436563803059e-188,1.0,0.0,1.078273370017681e-133,0.0,0.0
0.0909999999999999,1,0,0,0,3,correct,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.141,0,0,1,0,0,do_nothing,1.0,0.0,0.0,3.70872373131e-311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1600000000000001,0,0,1,0,8,do_nothing,0.0,0.0,0.0,6.7804956187355476e-183,4.180716780982104e-115,1.9815801931636347e-206,0.0,0.0,1.0,1.370776093743181e-255,0.0,0.0
0.179,0,1,0,0,4,do_nothing,0.0,0.0,0.0,2.2936523927344456e-91,1.0,6.841108800961611e-115,6.665154894385434e-263,0.0,1.4409464261623432e-82,4.874287648855549e-164,0.0,0.0
0.011,1,0,0,0,3,correct,0.0,0.0,0.0,1.0,5.9884146175645e-245,6.485123360945854e-297,0.0,0.0,0.0,2.3666e-320,0.0,0.0
0.3909999999999999,0,0,1,0,0,do_nothing,1.0,0.0,0.0,1.6169510877312903e-220,0.0,1.3581048293264309e-245,0.0,0.0,0.0,9.004070478150995e-272,0.0,0.0
0.3309999999999999,0,1,0,0,8,do_nothing,0.0,0.0,0.0,2.9562001810797408e-92,1.067012453834037e-114,8.639409351828635e-116,1.8938706751041116e-263,0.0,1.0,5.976389875315717e-165,0.0,0.0
0.3109999999999999,1,0,0,0,3,correct,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0209999999999999,0,1,0,0,0,correct,1.0,0.0,0.0,9.552665e-318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.691,0,0,1,0,8,correct,0.0,0.0,0.0,1.7464716704372343e-189,4.180716780981629e-115,5.104012840148129e-213,0.0,0.0,1.0,3.530747232724852e-262,0.0,0.0
0.1400000000000001,1,0,0,0,4,do_nothing,0.0,0.0,0.0,5.907826139836855e-98,1.0,3.2295187574350994e-127,1.060620906229377e-245,0.0,0.0,1.6806078603840284e-158,0.0,0.0
0.3500000000000001,0,0,1,0,9,do_nothing,3.522141679937905e-200,0.0,3.9970248125922335e-145,1.7433855899675868e-100,1.7595230856133884e-80,6.2037072959131455e-161,5.945528193767703e-92,9.840317213122068e-207,1.5381411609765918e-180,1.0,0.0,0.0
0.4299999999999997,0,0,1,0,9,correct,0.0,0.0,5.442580219625101e-248,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.71,1,0,0,0,7,do_nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.1799999999999999,1,0,0,0,10,correct,0.0,1.8703860501224917e-91,3.41877152249622e-298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4299999999999999,1,0,0,0,1,do_nothing,0.0,1.0,7.509480497797743e-206,2.782135750446869e-301,0.0,0.0,1.4599710906868397e-303,0.0,0.0,2.9483695180095404e-256,4e-322,0.0
0.569,1,0,0,0,1,correct,0.0,1.0,6.336352350455808e-58,5.583079162307524e-212,0.0,7.6032297599153245e-286,4.033636179488236e-214,0.0,0.0,6.955729155312848e-167,0.0,0.0
0.0500000000000002,0,0,1,0,2,do_nothing,0.0,5.079744711762895e-10,0.9999999994920472,1.2529307891877182e-111,0.0,1.7779182599707794e-280,1.9251985686233556e-131,0.0,0.0,2.496938739244874e-78,0.0,0.0
0.54,1,0,0,0,9,correct,0.0,1.0153151316754854e-174,1.2562712950371091e-120,6.40222936627518e-235,0.0,5.339574040459076e-296,1.2712978345375252e-224,1.2615479833128509e-259,0.0,1.0,4.415760531944717e-286,0.0
0.261,0,1,0,0,7,do_nothing,0.0,0.0,1.580544446584554e-231,1.2217840769616872e-188,0.0,0.0,1.2916678838050162e-187,1.0,0.0,8.6288555429644625e-134,0.0,0.0
0.53,1,0,0,0,9,correct,0.0,0.0,1.940330340519655e-240,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.8109999999999999,0,0,1,0,7,do_nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5009999999999999,0,0,1,0,10,correct,0.0,1.8703860501224917e-91,5.3954883372171336e-241,3.54455846e-316,0.0,0.0,3.578712014150939e-308,0.0,0.0,8.33083600773923e-251,1.0,0.0
0.0309999999999999,1,0,0,0,1,correct,0.0,1.0,1.1851425044877956e-148,1.4108034090810837e-212,0.0,0.0,7.403420884580388e-215,0.0,0.0,1.4950994992140468e-167,0.0,0.0
0.3399999999999998,1,0,0,0,2,do_nothing,0.0,5.142257160134938e-10,0.9999999994857944,2.9590257159136125e-110,0.0,7.211738348997039e-279,9.264269159343984e-132,0.0,0.0,3.5272061772628644e-78,0.0,0.0
0.0309999999999999,0,0,1,0,3,incorrect,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2109999999999999,0,1,0,0,0,correct,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0709999999999999,0,0,1,0,8,do_nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.27,0,0,1,0,4,do_nothing,0.0,0.0,0.0,1.0235640695200047e-206,1.0,1.6138651097839974e-214,0.0,0.0,0.0,0.0,0.0,0.0
0.629,0,0,1,0,4,do_nothing,0.0,0.0,0.0,2.6861500487911625e-72,1.0,1.383642422521605e-106,1.4672107780560889e-272,0.0,0.0,8.286641060802412e-127,0.0,0.0
0.2400000000000002,0,0,1,0,3,do_nothing,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4890000000000001,1,0,0,0,0,correct,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0299999999999998,0,1,0,0,8,correct,0.0,0.0,0.0,1.7743647767194933e-307,0.0,1.922864490369664e-269,0.0,0.0,1.0,0.0,0.0,0.0
0.2909999999999999,0,0,1,0,4,correct,0.0,0.0,0.0,5.937914814634535e-98,1.0,5.575073296696129e-127,2.1721030057403694e-247,0.0,0.0,1.0103548917072253e-159,0.0,0.0
0.3009999999999999,0,0,1,0,3,do_nothing,6.561439939739163e-265,0.0,0.0,1.0,2.02571350069306e-153,2.1937362031339804e-205,1.804253890437e-312,0.0,1.0386755483098381e-246,8.005684965357755e-229,0.0,0.0
0.56,0,1,0,0,0,do_nothing,1.0,0.0,0.0,5.4696941637459504e-129,0.0,4.5940895275587965e-154,0.0,0.0,0.0,3.045825697386744e-180,0.0,0.0
0.121,1,0,0,0,3,do_nothing,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0,0,1,0,0,incorrect,1.0,0.0,0.0,1.214445431530168e-300,0.0,3e-323,0.0,0.0,0.0,0.0,0.0,0.0
0.0509999999999999,1,0,0,0,8,do_nothing,0.0,0.0,0.0,3.024224691668101e-210,0.0,1.908153522188076e-172,9.679604544273108e-232,0.0,1.0,0.0,0.0,0.0
0.0409999999999999,1,0,0,0,9,incorrect,0.0,0.0,1.9123935786965592e-239,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.4299999999999999,0,0,1,0,7,correct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.6200000000000001,0,0,1,0,10,do_nothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4009999999999999,0,0,1,0,1,correct,0.0,1.0,0.0,0.0,0.0,0.0,2.795020949917641e-257,0.0,0.0,4.6331605149981865e-188,0.0,0.0
