ball_strike_count,all_star_player,inning_topbot,game_id,obs,code
00,0.0,0,233930,0000,0
10,0.0,0,233930,1000,12
30,0.0,0,233930,3000,36
00,0.0,0,233930,0000,0
01,0.0,0,233930,0100,4
02,0.0,0,233930,0200,8
12,0.0,0,233930,1200,20
00,0.0,0,233930,0000,0
01,0.0,0,233930,0100,4
11,0.0,0,233930,1100,16
12,0.0,0,233930,1200,20
22,0.0,0,233930,2200,32
32,0.0,0,233930,3200,44
00,0.0,0,233930,0000,0
01,0.0,0,233930,0100,4
02,0.0,0,233930,0200,8
12,0.0,0,233930,1200,20
00,0.0,0,233930,0000,0
10,0.0,0,233930,1000,12
11,0.0,0,233930,1100,16
00,1.0,1,233930,0011,3
00,1.0,1,233930,0011,3
01,1.0,1,233930,0111,7
02,1.0,1,233930,0211,11
00,1.0,1,233930,0011,3
10,1.0,1,233930,1011,15
20,1.0,1,233930,2011,27
30,1.0,1,233930,3011,39
00,1.0,1,233930,0011,3
01,1.0,1,233930,0111,7
00,1.0,1,233930,0011,3
00,0.0,0,233930,0000,0
10,0.0,0,233930,1000,12
20,0.0,0,233930,2000,24
21,0.0,0,233930,2100,28
00,0.0,0,233930,0000,0
10,0.0,0,233930,1000,12
00,0.0,0,233930,0000,0
01,0.0,0,233930,0100,4
11,0.0,0,233930,1100,16
00,1.0,1,233930,0011,3
00,1.0,1,233930,0011,3
10,1.0,1,233930,1011,15
20,1.0,1,233930,2011,27
21,1.0,1,233930,2111,31
22,1.0,1,233930,2211,35
00,1.0,1,233930,0011,3
01,1.0,1,233930,0111,7
11,1.0,1,233930,1111,19
12,1.0,1,233930,1211,23
12,1.0,1,233930,1211,23
22,1.0,1,233930,2211,35
00,1.0,1,233930,0011,3
01,1.0,1,233930,0111,7
02,1.0,1,233930,0211,11
12,1.0,1,233930,1211,23
22,1.0,1,233930,2211,35
00,0.0,0,233930,0000,0
10,0.0,0,233930,1000,12
11,0.0,0,233930,1100,16
21,0.0,0,233930,2100,28
00,0.0,0,233930,0000,0
01,0.0,0,233930,0100,4
02,0.0,0,233930,0200,8
00,0.0,0,233930,0000,0
00,0.0,0,233930,0000,0
01,0.0,0,233930,0100,4
00,0.0,0,233930,0000,0
10,0.0,0,233930,1000,12
11,0.0,0,233930,1100,16
12,0.0,0,233930,1200,20
00,1.0,1,233930,0011,3
01,1.0,1,233930,0111,7
02,1.0,1,233930,0211,11
00,1.0,1,233930,0011,3
01,1.0,1,233930,0111,7
11,1.0,1,233930,1111,19
00,1.0,1,233930,0011,3
00,0.0,0,233930,0000,0
01,0.0,0,233930,0100,4
11,0.0,0,233930,1100,16
12,0.0,0,233930,1200,20
22,0.0,0,233930,2200,32
00,0.0,0,233930,0000,0
10,0.0,0,233930,1000,12
00,0.0,0,233930,0000,0
01,0.0,0,233930,0100,4
02,0.0,0,233930,0200,8
12,0.0,0,233930,1200,20
00,0.0,0,233930,0000,0
10,0.0,0,233930,1000,12
20,0.0,0,233930,2000,24
30,0.0,0,233930,3000,36
31,0.0,0,233930,3100,40
32,0.0,0,233930,3200,44
00,0.0,0,233930,0000,0
10,0.0,0,233930,1000,12
11,0.0,0,233930,1100,16
12,0.0,0,233930,1200,20
22,0.0,0,233930,2200,32
22,0.0,0,233930,2200,32
32,0.0,0,233930,3200,44
00,0.0,0,233930,0000,0
01,0.0,0,233930,0100,4
