ball_strike_count,all_star_player,inning_topbot,game_id,obs,code
20,1.0,1,347962,2011,27
21,1.0,1,347962,2111,31
31,1.0,1,347962,3111,43
00,1.0,1,347962,0011,3
10,1.0,1,347962,1011,15
11,1.0,1,347962,1111,19
21,1.0,1,347962,2111,31
22,1.0,1,347962,2211,35
32,1.0,1,347962,3211,47
32,1.0,1,347962,3211,47
32,1.0,1,347962,3211,47
00,1.0,0,347962,0010,2
10,1.0,0,347962,1010,14
00,1.0,0,347962,0010,2
10,1.0,0,347962,1010,14
20,1.0,0,347962,2010,26
21,1.0,0,347962,2110,30
22,1.0,0,347962,2210,34
32,1.0,0,347962,3210,46
00,1.0,0,347962,0010,2
01,1.0,0,347962,0110,6
02,1.0,0,347962,0210,10
12,1.0,0,347962,1210,22
12,1.0,0,347962,1210,22
22,1.0,0,347962,2210,34
32,1.0,0,347962,3210,46
00,1.0,0,347962,0010,2
10,1.0,0,347962,1010,14
20,1.0,0,347962,2010,26
30,1.0,0,347962,3010,38
31,1.0,0,347962,3110,42
32,1.0,0,347962,3210,46
00,1.0,1,347962,0011,3
00,1.0,1,347962,0011,3
01,1.0,1,347962,0111,7
02,1.0,1,347962,0211,11
12,1.0,1,347962,1211,23
22,1.0,1,347962,2211,35
00,1.0,1,347962,0011,3
01,1.0,1,347962,0111,7
11,1.0,1,347962,1111,19
00,0.0,0,347962,0000,0
01,0.0,0,347962,0100,4
11,0.0,0,347962,1100,16
12,0.0,0,347962,1200,20
00,0.0,0,347962,0000,0
10,0.0,0,347962,1000,12
11,0.0,0,347962,1100,16
12,0.0,0,347962,1200,20
22,0.0,0,347962,2200,32
22,0.0,0,347962,2200,32
22,0.0,0,347962,2200,32
22,0.0,0,347962,2200,32
22,0.0,0,347962,2200,32
00,0.0,0,347962,0000,0
00,1.0,0,347962,0010,2
10,1.0,0,347962,1010,14
11,1.0,0,347962,1110,18
12,1.0,0,347962,1210,22
00,0.0,0,347962,0000,0
00,0.0,0,347962,0000,0
00,1.0,1,347962,0011,3
10,1.0,1,347962,1011,15
11,1.0,1,347962,1111,19
12,1.0,1,347962,1211,23
00,1.0,1,347962,0011,3
10,1.0,1,347962,1011,15
11,1.0,1,347962,1111,19
12,1.0,1,347962,1211,23
00,1.0,1,347962,0011,3
01,1.0,1,347962,0111,7
11,1.0,1,347962,1111,19
12,1.0,1,347962,1211,23
12,1.0,1,347962,1211,23
00,1.0,1,347962,0011,3
10,1.0,1,347962,1011,15
20,1.0,1,347962,2011,27
00,1.0,1,347962,0011,3
10,1.0,1,347962,1011,15
11,1.0,1,347962,1111,19
12,1.0,1,347962,1211,23
22,1.0,1,347962,2211,35
00,1.0,0,347996,0010,2
01,1.0,0,347996,0110,6
11,1.0,0,347996,1110,18
21,1.0,0,347996,2110,30
00,1.0,0,347996,0010,2
01,1.0,0,347996,0110,6
00,1.0,0,347996,0010,2
01,1.0,0,347996,0110,6
00,1.0,0,347996,0010,2
10,1.0,0,347996,1010,14
20,1.0,0,347996,2010,26
21,1.0,0,347996,2110,30
31,1.0,0,347996,3110,42
32,1.0,0,347996,3210,46
00,1.0,0,347996,0010,2
01,1.0,0,347996,0110,6
11,1.0,0,347996,1110,18
00,0.0,1,347996,0001,1
01,0.0,1,347996,0101,5
02,0.0,1,347996,0201,9
12,0.0,1,347996,1201,21
12,0.0,1,347996,1201,21
22,0.0,1,347996,2201,33
00,0.0,1,347996,0001,1
00,0.0,1,347996,0001,1
10,0.0,1,347996,1001,13
11,0.0,1,347996,1101,17
00,1.0,0,347996,0010,2
10,1.0,0,347996,1010,14
11,1.0,0,347996,1110,18
21,1.0,0,347996,2110,30
22,1.0,0,347996,2210,34
00,1.0,0,347996,0010,2
10,1.0,0,347996,1010,14
20,1.0,0,347996,2010,26
21,1.0,0,347996,2110,30
31,1.0,0,347996,3110,42
32,1.0,0,347996,3210,46
00,1.0,0,347996,0010,2
01,1.0,0,347996,0110,6
02,1.0,0,347996,0210,10
12,1.0,0,347996,1210,22
00,0.0,1,347996,0001,1
01,0.0,1,347996,0101,5
02,0.0,1,347996,0201,9
02,0.0,1,347996,0201,9
02,0.0,1,347996,0201,9
12,0.0,1,347996,1201,21
12,0.0,1,347996,1201,21
00,0.0,1,347996,0001,1
10,0.0,1,347996,1001,13
11,0.0,1,347996,1101,17
00,0.0,1,347996,0001,1
01,0.0,1,347996,0101,5
02,0.0,1,347996,0201,9
12,0.0,1,347996,1201,21
00,0.0,1,347996,0001,1
01,0.0,1,347996,0101,5
02,0.0,1,347996,0201,9
12,0.0,1,347996,1201,21
12,0.0,1,347996,1201,21
22,0.0,1,347996,2201,33
32,0.0,1,347996,3201,45
00,1.0,0,347996,0010,2
01,1.0,0,347996,0110,6
02,1.0,0,347996,0210,10
02,1.0,0,347996,0210,10
02,1.0,0,347996,0210,10
00,1.0,0,347996,0010,2
00,1.0,0,347996,0010,2
10,1.0,0,347996,1010,14
00,1.0,0,347996,0010,2
10,1.0,0,347996,1010,14
11,1.0,0,347996,1110,18
12,1.0,0,347996,1210,22
00,0.0,1,347996,0001,1
01,0.0,1,347996,0101,5
02,0.0,1,347996,0201,9
00,0.0,1,347996,0001,1
01,0.0,1,347996,0101,5
02,0.0,1,347996,0201,9
00,0.0,1,347996,0001,1
01,0.0,1,347996,0101,5
02,0.0,1,347996,0201,9
12,0.0,1,347996,1201,21
12,0.0,1,347996,1201,21
22,0.0,1,347996,2201,33
00,1.0,0,347996,0010,2
01,1.0,0,347996,0110,6
02,1.0,0,347996,0210,10
02,1.0,0,347996,0210,10
12,1.0,0,347996,1210,22
12,1.0,0,347996,1210,22
00,1.0,0,347996,0010,2
10,1.0,0,347996,1010,14
20,1.0,0,347996,2010,26
00,1.0,0,347996,0010,2
